Ім'я Фамілія 1,Ім'я Фамілія 2,Результат 1,Результат 2,Турнір,Дата,Стадія,Дисципліна
Юлій Гараксим,Марія Левківська,6,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,final,FREE_PYRAMID
Олександр Мимренко,Юлій Гараксим,2,5,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,semifinal,FREE_PYRAMID
Максим Росул,Марія Левківська,3,5,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,semifinal,FREE_PYRAMID
Роман Качур,Олександр Мимренко,4,5,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,quarterfinal,FREE_PYRAMID
Юлій Гараксим,Михайло Сличко,5,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,quarterfinal,FREE_PYRAMID
Максим Росул,Євген Драгула,5,2,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,quarterfinal,FREE_PYRAMID
Микола Леміш,Марія Левківська,3,5,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,quarterfinal,FREE_PYRAMID
Роман Качур,Юрій Леміш,4,1,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Мартін Довганич,Олександр Мимренко,1,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Юлій Гараксим,Андрій Сергєєв,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Михайло Сличко,Олександр Лизанець,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Максим Росул,Володимир Коротя,4,1,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Євген Драгула,Роман Церковник,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Микола Леміш,Максим Король,4,2,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Марія Левківська,Андрій Банк,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,round16,FREE_PYRAMID
Роман Качур,Олександр Лизанець,4,3,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Олександр Мимренко,Юлій Гараксим,1,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Стефанія Церковник,Михайло Сличко,2,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Віктор Загуменний,Максим Росул,2,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Михаил Пономаренко,Михайло Феделещак,4,2,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Андрій Сергєєв,Роман Церковник,4,2,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Роман Чийпеш,Марія Левківська,2,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Володимир Коротя,Роман Качур,1,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Мартін Довганич,Тарас Потапчук,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Максим Король,Юлій Гараксим,1,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Михайло Сличко,Андрій Банк,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Юрій Леміш,Максим Росул,2,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Михаил Пономаренко,Євген Драгула,2,4,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Микола Леміш,Андрій Сергєєв,4,1,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Марія Левківська,Євген Довганич,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Олександр Лизанець,Євген Довганич,3,1,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Олександр Мимренко,Михаил Пономаренко,3,2,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Стефанія Церковник,Юрій Леміш,0,3,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Віктор Загуменний,Андрій Банк,1,3,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Михайло Феделещак,Максим Король,0,3,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Роман Церковник,Тарас Потапчук,4,0,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Роман Чийпеш,Володимир Коротя,2,3,Чемпіонат Закарпатської обл. на підтримку ЗСУ Вільна піраміда 2024 YOUtube канал Більярд Закарпаття,2024-03-16,group,FREE_PYRAMID
Роман Церковник,Юрій Леміш,2,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Євген Кравчак,Роман Качур,0,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Роман Церковник,Роман Качур,0,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Юрій Леміш,Євген Кравчак,4,0,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Роман Церковник,Євген Кравчак,4,3,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Роман Качур,Юрій Леміш,4,1,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Стефанія Церковник,Володимир Коротя,4,2,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Микола Шикітка,Мартін Довганич,4,0,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Стефанія Церковник,Мартін Довганич,4,2,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Володимир Коротя,Микола Шикітка,4,3,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Стефанія Церковник,Микола Шикітка,0,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Мартін Довганич,Володимир Коротя,1,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Микола Леміш,Валентин Свалявчик,4,0,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Олексій Проскурін,Сергій Король,0,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Микола Леміш,Сергій Король,4,1,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Валентин Свалявчик,Олексій Проскурін,4,2,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Микола Леміш,Олексій Проскурін,4,2,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Сергій Король,Валентин Свалявчик,4,1,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Максим Король,Юлій Гараксим,0,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
Андрій Сергєєв,Роман Чийпеш,0,4,"Кубок Закарпатської області 2024 (вільна піраміда), на підтримку ЗСУ",2024-05-18,group,FREE_PYRAMID
